***************************************************************************************************
Started processing at [12/16/2024 15:53:21].
[12/16/2024 15:53:37] Record Updated 62
[12/16/2024 15:53:37] Record Updated 63
[12/16/2024 15:53:37] Record Updated 64
[12/16/2024 15:53:37] Record Updated 65
[12/16/2024 15:53:37] Record Updated 66
[12/16/2024 15:53:37] Record Updated 67
[12/16/2024 15:53:37] Record Updated 68
[12/16/2024 15:53:37] Record Updated 69
[12/16/2024 15:53:38] Record Updated 70
[12/16/2024 15:53:38] Record Updated 71
[12/16/2024 15:53:38] Record Updated 72
[12/16/2024 15:53:38] Record Updated 73
[12/16/2024 15:53:38] Record Updated 74
[12/16/2024 15:53:38] Record Updated 75
[12/16/2024 15:53:39] Record Updated 76
[12/16/2024 15:53:39] Record Updated 77
[12/16/2024 15:53:39] Record Updated 78
[12/16/2024 15:53:39] Record Updated 79
[12/16/2024 15:53:39] Record Updated 80
[12/16/2024 15:53:39] Record Updated 81
[12/16/2024 15:53:39] Record Updated 82
[12/16/2024 15:53:40] Record Updated 83
[12/16/2024 15:53:40] Record Updated 84
[12/16/2024 15:53:40] Record Updated 85
[12/16/2024 15:53:40] Record Updated 86
[12/16/2024 15:53:40] Record Updated 87
[12/16/2024 15:53:40] Record Updated 88
[12/16/2024 15:53:40] Record Updated 89
[12/16/2024 15:53:40] Record Updated 90
[12/16/2024 15:53:40] Record Updated 91
[12/16/2024 15:53:41] Record Updated 92
[12/16/2024 15:53:41] Record Updated 93
[12/16/2024 15:53:41] Record Updated 94
[12/16/2024 15:53:41] Record Updated 95
[12/16/2024 15:53:41] Record Updated 96
[12/16/2024 15:53:41] Record Updated 97
[12/16/2024 15:53:41] Record Updated 98
[12/16/2024 15:53:41] Record Updated 99
[12/16/2024 15:53:41] Record Updated 100
[12/16/2024 15:53:42] Record Updated 101
[12/16/2024 15:53:42] Record Updated 102
[12/16/2024 15:53:42] Record Updated 103
[12/16/2024 15:53:42] Record Updated 104
[12/16/2024 15:53:42] Record Updated 105
[12/16/2024 15:53:42] Record Updated 106
[12/16/2024 15:53:42] Record Updated 107
[12/16/2024 15:53:42] Record Updated 108
[12/16/2024 15:53:42] Record Updated 109
[12/16/2024 15:53:42] Record Updated 110
[12/16/2024 15:53:43] Record Updated 111
[12/16/2024 15:53:43] Record Updated 112
[12/16/2024 15:53:43] Record Updated 113
[12/16/2024 15:53:43] Record Updated 114
[12/16/2024 15:53:43] Record Updated 115
[12/16/2024 15:53:43] Record Updated 116
[12/16/2024 15:53:43] Record Updated 117
[12/16/2024 15:53:43] Record Updated 118
[12/16/2024 15:53:43] Record Updated 119
[12/16/2024 15:53:43] Record Updated 120
[12/16/2024 15:53:44] Record Updated 121
[12/16/2024 15:53:44] Record Updated 122
[12/16/2024 15:53:44] Record Updated 123
[12/16/2024 15:53:44] Record Updated 124
[12/16/2024 15:53:44] Record Updated 125
[12/16/2024 15:53:44] Record Updated 126
[12/16/2024 15:53:44] Record Updated 127
[12/16/2024 15:53:44] Record Updated 128
[12/16/2024 15:53:44] Record Updated 129
[12/16/2024 15:53:45] Record Updated 130
[12/16/2024 15:53:45] Record Updated 131
[12/16/2024 15:53:45] Record Updated 132
[12/16/2024 15:53:45] Exporting clean CH Edition dataset for data.world [D:\Code\Repos\US-Mass-Shootings\Export\Codeholics - Mass Shootings Database 1982-2024.csv]
[12/16/2024 15:53:45] SQLite DB Created [D:\Code\Repos\US-Mass-Shootings\Resources\System.Data.SQLite.dll]
[12/16/2024 15:53:45] Connected to SQLite DB [D:\Code\Repos\US-Mass-Shootings\Export\MassShooterDatabase.sqlite]
[12/16/2024 15:53:46] Importing CH Edition [D:\Code\Repos\US-Mass-Shootings\Export\Codeholics - Mass Shootings Database 1982-2024.csv]
[12/16/2024 15:53:46] Inserting CH Edition [D:\Code\Repos\US-Mass-Shootings\Export\Codeholics - Mass Shootings Database 1982-2024.csv] into SQLite DB [D:\Code\Repos\US-Mass-Shootings\Export\MassShooterDatabase.sqlite]
[12/16/2024 15:54:14] Importing MJ Edition [D:\Code\Repos\US-Mass-Shootings\Export\Mother Jones - Mass Shootings Database 1982-2024.csv]
[12/16/2024 15:54:14] Inserting MJ Edition [D:\Code\Repos\US-Mass-Shootings\Export\Mother Jones - Mass Shootings Database 1982-2024.csv] into SQLite DB [D:\Code\Repos\US-Mass-Shootings\Export\MassShooterDatabase.sqlite]
[12/16/2024 15:54:46] Exported WebView [D:\Code\Repos\US-Mass-Shootings\Export\WebView.html]

***************************************************************************************************
Finished processing at [12/16/2024 15:54:46].
***************************************************************************************************
