***************************************************************************************************
Started processing at [12/15/2024 13:37:48].
[12/15/2024 13:38:06] Record Updated 65
[12/15/2024 13:38:06] Record Updated 66
[12/15/2024 13:38:06] Record Updated 67
[12/15/2024 13:38:06] Record Updated 68
[12/15/2024 13:38:06] Record Updated 69
[12/15/2024 13:38:06] Record Updated 70
[12/15/2024 13:38:07] Record Updated 71
[12/15/2024 13:38:07] Record Updated 72
[12/15/2024 13:38:07] Record Updated 73
[12/15/2024 13:38:07] Record Updated 74
[12/15/2024 13:38:07] Record Updated 75
[12/15/2024 13:38:07] Record Updated 76
[12/15/2024 13:38:07] Record Updated 77
[12/15/2024 13:38:08] Record Updated 78
[12/15/2024 13:38:08] Record Updated 79
[12/15/2024 13:38:08] Record Updated 80
[12/15/2024 13:38:08] Record Updated 81
[12/15/2024 13:38:08] Record Updated 82
[12/15/2024 13:38:08] Record Updated 83
[12/15/2024 13:38:08] Record Updated 84
[12/15/2024 13:38:09] Record Updated 85
[12/15/2024 13:38:09] Record Updated 86
[12/15/2024 13:38:09] Record Updated 87
[12/15/2024 13:38:09] Record Updated 88
[12/15/2024 13:38:09] Record Updated 89
[12/15/2024 13:38:09] Record Updated 90
[12/15/2024 13:38:09] Record Updated 91
[12/15/2024 13:38:09] Record Updated 92
[12/15/2024 13:38:09] Record Updated 93
[12/15/2024 13:38:10] Record Updated 94
[12/15/2024 13:38:10] Record Updated 95
[12/15/2024 13:38:10] Record Updated 96
[12/15/2024 13:38:10] Record Updated 97
[12/15/2024 13:38:10] Record Updated 98
[12/15/2024 13:38:10] Record Updated 99
[12/15/2024 13:38:10] Record Updated 100
[12/15/2024 13:38:10] Record Updated 101
[12/15/2024 13:38:10] Record Updated 102
[12/15/2024 13:38:11] Record Updated 103
[12/15/2024 13:38:11] Record Updated 104
[12/15/2024 13:38:11] Record Updated 105
[12/15/2024 13:38:11] Record Updated 106
[12/15/2024 13:38:11] Record Updated 107
[12/15/2024 13:38:11] Record Updated 108
[12/15/2024 13:38:11] Record Updated 109
[12/15/2024 13:38:11] Record Updated 110
[12/15/2024 13:38:11] Record Updated 111
[12/15/2024 13:38:11] Record Updated 112
[12/15/2024 13:38:12] Record Updated 113
[12/15/2024 13:38:12] Record Updated 114
[12/15/2024 13:38:12] Record Updated 115
[12/15/2024 13:38:12] Record Updated 116
[12/15/2024 13:38:12] Record Updated 117
[12/15/2024 13:38:12] Record Updated 118
[12/15/2024 13:38:12] Record Updated 119
[12/15/2024 13:38:12] Record Updated 120
[12/15/2024 13:38:12] Record Updated 121
[12/15/2024 13:38:12] Record Updated 122
[12/15/2024 13:38:13] Record Updated 123
[12/15/2024 13:38:13] Record Updated 124
[12/15/2024 13:38:13] Record Updated 125
[12/15/2024 13:38:13] Record Updated 126
[12/15/2024 13:38:13] Record Updated 127
[12/15/2024 13:38:13] Record Updated 128
[12/15/2024 13:38:13] Record Updated 129
[12/15/2024 13:38:13] Record Updated 130
[12/15/2024 13:38:14] Record Updated 131
[12/15/2024 13:38:14] Record Updated 132
[12/15/2024 13:38:14] Exporting clean CH Edition dataset for data.world [D:\Code\Repos\US-Mass-Shootings\Export\Codeholics - Mass Shootings Database 1982-2024.csv]
[12/15/2024 13:38:14] SQLite DB Created [D:\Code\Repos\US-Mass-Shootings\Resources\System.Data.SQLite.dll]
[12/15/2024 13:38:14] Connected to SQLite DB [D:\Code\Repos\US-Mass-Shootings\Export\MassShooterDatabase.sqlite]
[12/15/2024 13:38:15] Importing CH Edition [D:\Code\Repos\US-Mass-Shootings\Export\Codeholics - Mass Shootings Database 1982-2024.csv]
[12/15/2024 13:38:15] Inserting CH Edition [D:\Code\Repos\US-Mass-Shootings\Export\Codeholics - Mass Shootings Database 1982-2024.csv] into SQLite DB [D:\Code\Repos\US-Mass-Shootings\Export\MassShooterDatabase.sqlite]
[12/15/2024 13:38:44] Importing MJ Edition [D:\Code\Repos\US-Mass-Shootings\Export\Mother Jones - Mass Shootings Database 1982-2024.csv]
[12/15/2024 13:38:44] Inserting MJ Edition [D:\Code\Repos\US-Mass-Shootings\Export\Mother Jones - Mass Shootings Database 1982-2024.csv] into SQLite DB [D:\Code\Repos\US-Mass-Shootings\Export\MassShooterDatabase.sqlite]
[12/15/2024 13:39:17] Exported WebView [D:\Code\Repos\US-Mass-Shootings\Export\WebView.html]

***************************************************************************************************
Finished processing at [12/15/2024 13:39:17].
***************************************************************************************************
